date,spy_adjClose,tlt_adjClose
2002-07-26,55.8244454739958,37.8412431804991
2002-07-29,58.5439301380272,37.3413406830231
2002-07-30,59.306954458738,37.3872032974704
2002-07-31,59.4504298085058,37.8504157033886
2002-08-01,57.8982982377745,38.0659699912911
2002-08-02,56.6005115854388,38.4558022140934
2002-08-05,54.6310016255291,38.6254938875486
2002-08-06,56.4700773742485,38.2952830635278
2002-08-07,57.4548323542033,38.3870082924224
2002-08-08,59.3134727454851,38.3870082924224
2002-08-09,59.5352079698123,38.928187142901
2002-08-12,59.0982655902262,39.1666727380272
2002-08-13,58.0222089449798,39.6482301897243
2002-08-14,60.1417118892495,39.7995768174005
2002-08-15,60.976469319761,39.4510209476007
2002-08-16,60.7938666413325,39.0107398489062
2002-08-19,62.2155646530283,39.1299826464693
2002-08-20,61.5568863969602,39.565677483719
2002-08-21,62.4438175119478,39.3547094572613
2002-08-22,63.050321431385,39.0107398489062
2002-08-23,61.6938382427428,39.3959858102639
2002-08-26,62.1242629877366,39.4326759018218
2002-08-27,61.4068940647548,39.1850177838061
2002-08-28,60.0634513625353,39.3822270259297
2002-08-29,60.0895382047734,39.6986790656163
2002-08-30,59.8547624940235,39.9371646607425
2002-09-03,57.572220861733,40.5483298608677
2002-09-04,58.3939371536671,40.5391185183278
2002-09-05,57.8982982377745,40.7601907392866
2002-09-06,58.6939276874705,40.2812009272091
2002-09-09,59.1243524324643,40.2213272006994
2002-09-10,59.8025888095474,40.4147653940384
2002-09-11,59.4308606008601,40.2029045156195
2002-09-12,58.3352406173606,40.5160901619779
2002-09-13,58.4787153149736,40.8891495348459
2002-09-16,58.6221900125866,40.9582346038956
2002-09-17,57.2787531797599,41.0365310154852
2002-09-18,56.7048537371531,41.0457423580251
2002-09-19,55.2375055449663,41.3220826342237
2002-09-20,55.2558317456546,41.1286444408847
2002-09-23,54.8038318253996,41.4970981424828
2002-09-24,53.9194725348205,41.7642270761414
2002-09-25,55.2558317456546,41.257603236444
2002-09-26,56.1598427224914,41.1608841397745
2002-09-27,54.2077081845683,41.4694641148629
2002-09-30,53.5788339169009,41.635268280582
2002-10-01,56.1532906318901,41.1206766295876
2002-10-02,54.469740712535,41.3564709300271
2002-10-03,53.9194725348205,41.2547557416022
2002-10-04,52.9303079629757,41.3842114359612
2002-10-07,51.8363236981482,41.4535627007963
2002-10-08,52.6486244038293,41.4674329537634
2002-10-09,51.161593967364,41.6801101659245
2002-10-10,52.818940764938,41.3518475123714
2002-10-11,55.1313708476628,40.8617652408697
2002-10-14,55.439252943044,40.8016608113459
2002-10-15,58.1054205842669,39.8353665213095
2002-10-16,56.6970067190031,39.8538601919322
2002-10-17,57.8237370251205,39.3684013380862
2002-10-18,58.0661172117514,39.4701165265111
2002-10-21,59.0683859647989,39.0863728610899
2002-10-22,58.6425845807786,38.9754108373537
2002-10-23,59.0880376510566,38.9892810903207
2002-10-24,57.88269666944,39.3314139968408
2002-10-25,59.0880376510566,39.4747399441667
2002-10-28,58.7015442250982,39.4192589322986
2002-10-29,58.0202624037126,39.9324582920787
2002-10-30,58.5836295220054,39.9185880391117
2002-10-31,57.9875065362521,40.0989013276831
2002-11-01,59.1338931141735,39.9319034819601
2002-11-04,59.6972602324663,39.7554191446357
2002-11-05,60.1689170796034,39.6021564306436
2002-11-06,60.9484619178241,39.7600634693022
2002-11-07,59.4548846313817,40.7446602985852
2002-11-08,58.7277480019573,41.0744073499017
2002-11-11,57.8171895200654,41.2973349338903
2002-11-12,58.2757421859998,41.0604743759024
2002-11-13,58.3347018303194,41.1487165445646
2002-11-14,59.4352329451239,40.2941608059416
2002-11-15,59.8741345798787,40.4567121692666
2002-11-18,59.2714634339923,40.6378408312573
2002-11-19,59.192852758493,40.7864592205831
2002-11-20,60.5095609381474,40.3870472992701
2002-11-21,61.6362905891867,39.9969240272901
2002-11-22,61.19738960951,39.9597694299586
2002-11-25,61.2366975675718,39.8854602352958
2002-11-26,60.0706547178464,40.3870472992701
2002-11-27,61.7607573828809,39.47675966465
2002-11-29,61.5642365898351,39.7321975213036
2002-12-02,61.6624943660458,39.7691199024017
2002-12-03,60.8370999604107,39.8251064625646
2002-12-04,60.5619632512413,40.0303905164954
2002-12-05,59.8937856110584,40.1330325434607
2002-12-06,60.2868317826962,40.2030157436644
2002-12-09,58.6294849851222,40.4269619843161
2002-12-10,59.4155766733199,40.5342695579617
2002-12-11,59.4679842270381,40.8048712654159
2002-12-12,59.4614321364367,40.767546891974
2002-12-13,58.5246698776858,40.3709754241532
2002-12-16,60.0379040910103,40.0677148899373
2002-12-17,59.5138390350769,40.0677148899373
2002-12-18,58.8260103637143,40.3803065175137
2002-12-19,58.4067610702954,40.7395536118925
2002-12-20,59.2359811317105,40.767546891974
2002-12-23,59.2557279951116,40.7768779853345
2002-12-24,58.8147006698053,41.0054897726664
2002-12-26,58.8410313569251,41.0848040662306
2002-12-27,57.5179460897524,41.5373620942143
2002-12-30,57.998471749616,41.6353385744994
2002-12-31,58.0774631527246,41.5309702952623
2003-01-02,59.9468932276771,40.4571764375661
2003-01-03,60.1312021132592,40.550957560509
2003-01-06,61.1909864334904,40.4431092691247
2003-01-07,61.0395914004961,40.5884700096862
2003-01-08,60.1575328003791,40.7900994240134
2003-01-09,61.0922481669807,40.0070270474402
2003-01-10,61.2568108474124,40.1101862826774
2003-01-13,61.2370639840113,40.1758330687374
2003-01-14,61.4345411752816,40.3165047531518
2003-01-15,60.8223680040755,40.5134451113319
2003-01-16,60.5722294385656,40.5697137850976
