date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
1993-01-29,43.9375,43.9687,43.75,43.9687,1003200,24.3673083453135,24.3846115605709,24.263322676699,24.3846115605709,1003200,0.0,1.0
1993-02-01,44.25,44.25,43.9687,43.9687,480500,24.5406177930042,24.5406177930042,24.3846115605709,24.3846115605709,480500,0.0,1.0
1993-02-02,44.3437,44.375,44.125,44.2187,201300,24.5925828977998,24.6099415720805,24.4712940139279,24.5232591187235,201300,0.0,1.0
1993-02-03,44.8125,44.8437,44.375,44.4062,529400,24.8525747988474,24.8698780141049,24.6099415720805,24.6272447873379,529400,0.0,1.0
1993-02-04,45.0,45.0937,44.4687,44.9687,531500,24.9565604674619,25.0085255722575,24.661906676876,24.9392017931812,531500,0.0,1.0
1993-02-05,44.9687,45.0625,44.7187,44.9687,492100,24.9392017931812,24.991222357,24.8005542350286,24.9392017931812,492100,0.0,1.0
1993-02-08,44.9687,45.125,44.9062,44.9687,596100,24.9392017931812,25.0258842465382,24.904539903643,24.9392017931812,596100,0.0,1.0
1993-02-09,44.6562,44.8125,44.5625,44.8125,122100,24.7658923454905,24.8525747988474,24.7139272406949,24.8525747988474,122100,0.0,1.0
1993-02-10,44.7187,44.75,44.5312,44.6562,379600,24.8005542350286,24.8179129093093,24.6965685664142,24.7658923454905,379600,0.0,1.0
1993-02-11,44.9375,45.125,44.7812,44.7812,19500,24.9218985779237,25.0258842465382,24.8352161245667,24.8352161245667,19500,0.0,1.0
1993-02-12,44.5937,44.875,44.5937,44.875,42500,24.7312304559523,24.8872366883856,24.7312304559523,24.8872366883856,42500,0.0,1.0
1993-02-16,43.4687,44.4687,43.4062,44.4687,374800,24.1073164442658,24.661906676876,24.0726545547276,24.661906676876,374800,0.0,1.0
1993-02-17,43.4375,43.5312,43.2812,43.4687,210900,24.0900132290083,24.1419783338039,24.0033307756514,24.1073164442658,210900,0.0,1.0
1993-02-18,43.4062,43.9375,42.8125,43.9375,378100,24.0726545547276,24.3673083453135,23.7433943336269,24.3673083453135,378100,0.0,1.0
1993-02-19,43.5625,43.5625,43.3437,43.4062,34900,24.1593370080846,24.1593370080846,24.0379926651895,24.0726545547276,34900,0.0,1.0
1993-02-22,43.7187,43.7812,43.5625,43.6875,513600,24.2459640024183,24.2806258919565,24.1593370080846,24.2286607871609,513600,0.0,1.0
1993-02-23,43.6875,43.875,43.4687,43.8437,373700,24.2286607871609,24.3326464557753,24.1073164442658,24.3152877814946,373700,0.0,1.0
1993-02-24,44.25,44.25,43.7187,43.7187,26300,24.5406177930042,24.5406177930042,24.2459640024183,24.2459640024183,26300,0.0,1.0
1993-02-25,44.3437,44.375,44.125,44.2187,44500,24.5925828977998,24.6099415720805,24.4712940139279,24.5232591187235,44500,0.0,1.0
1993-02-26,44.4062,44.4375,44.1875,44.4375,66200,24.6272447873379,24.6446034616186,24.505955903466,24.6446034616186,66200,0.0,1.0
1993-03-01,44.2812,44.5625,44.2187,44.5625,66500,24.5579210082616,24.7139272406949,24.5232591187235,24.7139272406949,66500,0.0,1.0
1993-03-02,44.9375,44.9375,44.25,44.3125,182400,24.9218985779237,24.9218985779237,24.5406177930042,24.5752796825423,182400,0.0,1.0
1993-03-03,45.125,45.1562,44.9375,45.0,280100,25.0258842465382,25.0431874617956,24.9218985779237,24.9565604674619,280100,0.0,1.0
1993-03-04,44.875,45.1875,44.875,45.1875,89500,24.8872366883856,25.0605461360763,24.8872366883856,25.0605461360763,89500,0.0,1.0
1993-03-05,44.75,45.125,44.7187,44.9375,40000,24.8179129093093,25.0258842465382,24.8005542350286,24.9218985779237,40000,0.0,1.0
1993-03-08,45.75,45.75,44.8437,44.8437,50800,25.3725031419196,25.3725031419196,24.8698780141049,24.8698780141049,50800,0.0,1.0
1993-03-09,45.5937,45.6875,45.5,45.6562,169300,25.2858206885626,25.3378412523814,25.233855583767,25.3204825781007,169300,0.0,1.0
1993-03-10,45.6875,45.6875,45.4062,45.5937,194400,25.3378412523814,25.3378412523814,25.1818350199482,25.2858206885626,194400,0.0,1.0
1993-03-11,45.5625,45.8437,45.5,45.7187,70900,25.2685174733051,25.4244682467152,25.233855583767,25.3551444676389,70900,0.0,1.0
